
name,net_worth,country,profession,age,gender,followers
Elon Musk,250000000000,USA,Entrepreneur,52,Male,150000000
Jeff Bezos,160000000000,USA,Entrepreneur,60,Male,5000000
Taylor Swift,1000000000,USA,Singer,34,Female,95000000
Lionel Messi,600000000,Argentina,Footballer,37,Male,500000000
Jack Ma,23000000000,China,Entrepreneur,61,Male,1000000
BTS,120000000,South Korea,Singer,29,Male,70000000
Cristiano Ronaldo,500000000,Portugal,Footballer,41,Male,600000000
Oprah Winfrey,2800000000,USA,TV Host,70,Female,43000000
Rihanna,1400000000,Barbados,Singer,38,Female,150000000
Narendra Modi,500000,India,Politician,75,Male,90000000

